"","CaregiverID","n"
"1","R3ID02478",2
"2","R3ID02479",2
"3","R3ID02480",2
"4","R3ID02481",2
"5","R3ID02482",2
"6","R3ID02483",2
"7","R3ID02484",2
"8","R3ID02485",2
"9","R3ID02486",2
"10","R3ID02487",2
"11","R3ID02488",2
"12","R3ID02489",2
"13","R3ID02490",2
"14","R3ID02491",2
"15","R3ID02492",2
"16","R3ID02493",2
"17","R3ID02494",2
"18","R3ID02495",2
"19","R3ID02496",2
"20","R3ID02497",2
"21","R3ID02498",2
"22","R3ID02499",2
"23","R3ID02500",2
"24","R3ID02501",2
"25","R3ID02502",2
"26","R3ID02503",2
"27","R3ID02504",2
"28","R3ID02505",2
"29","R3ID02506",2
"30","R3ID02507",2
"31","R3ID02508",2
"32","R3ID02509",2
"33","R3ID02510",2
"34","R3ID02511",2
"35","R3ID02512",2
"36","R3ID02513",2
"37","R3ID02514",2
"38","R3ID02515",2
"39","R3ID02516",2
"40","R3ID02517",2
"41","R3ID02518",2
"42","R3ID02519",2
"43","R3ID02520",2
"44","R3ID02521",2
"45","R3ID02522",2
"46","R3ID02523",2
"47","R3ID02524",2
"48","R3ID02525",2
"49","R3ID02526",2
"50","R3ID02527",2
"51","R3ID02528",2
"52","R3ID02529",2
"53","R3ID02530",2
"54","R3ID02531",2
"55","R3ID02532",2
"56","R3ID02533",2
"57","R3ID02534",2
"58","R3ID02535",2
"59","R3ID02536",2
"60","R3ID02537",2
"61","R3ID02538",2
"62","R3ID02539",2
"63","R3ID02540",2
"64","R3ID02541",2
"65","R3ID02542",2
"66","R3ID02543",2
"67","R3ID02544",2
"68","R3ID02545",2
"69","R3ID02546",2
"70","R3ID02547",2
"71","R3ID02548",2
"72","R3ID02549",2
"73","R3ID02550",2
"74","R3ID02551",2
"75","R3ID02552",2
"76","R3ID02553",2
"77","R3ID02554",2
"78","R3ID02555",2
"79","R3ID02556",2
"80","R3ID02557",2
"81","R3ID02558",2
"82","R3ID02559",2
"83","R3ID02560",2
"84","R3ID02561",2
"85","R3ID02562",2
"86","R3ID02563",2
"87","R3ID02564",2
"88","R3ID02565",2
"89","R3ID02566",2
"90","R3ID02567",2
"91","R3ID02568",2
"92","R3ID02569",2
"93","R3ID02570",2
"94","R3ID02571",2
"95","R3ID02572",2
"96","R3ID02573",2
"97","R3ID02574",2
"98","R3ID02575",2
"99","R3ID02576",2
"100","R3ID02577",2
"101","R3ID02578",2
"102","R3ID02579",2
"103","R3ID02580",2
"104","R3ID02581",2
"105","R3ID02582",2
"106","R3ID02583",2
"107","R3ID02584",2
"108","R3ID02585",2
"109","R3ID02586",2
"110","R3ID02587",2
"111","R3ID02588",2
"112","R3ID02589",2
"113","R3ID02590",2
"114","R3ID02591",2
"115","R3ID02592",2
"116","R3ID02593",2
"117","R3ID02594",2
"118","R3ID02595",2
"119","R3ID02596",2
"120","R3ID02597",2
"121","R3ID02598",2
"122","R3ID02599",2
"123","R3ID02600",2
"124","R3ID02601",2
"125","R3ID02602",2
"126","R3ID02603",2
"127","R3ID02604",2
"128","R3ID02605",2
"129","R3ID02606",2
"130","R3ID02607",2
"131","R3ID02608",2
"132","R3ID02609",2
"133","R3ID02610",2
"134","R3ID02611",2
"135","R3ID02612",2
"136","R3ID02613",2
"137","R3ID02614",2
"138","R3ID02615",2
"139","R3ID02616",2
"140","R3ID02617",2
"141","R3ID02618",2
"142","R3ID02619",2
"143","R3ID02620",2
"144","R3ID02621",2
"145","R3ID02622",2
"146","R3ID02623",2
"147","R3ID02624",2
"148","R3ID02625",2
"149","R3ID02626",2
"150","R3ID02627",2
"151","R3ID02628",2
"152","R3ID02629",2
"153","R3ID02630",2
"154","R3ID02631",2
"155","R3ID02632",2
"156","R3ID02633",2
"157","R3ID02634",2
"158","R3ID02635",2
"159","R3ID02636",2
"160","R3ID02637",2
"161","R3ID02638",2
"162","R3ID02639",2
"163","R3ID02640",2
"164","R3ID02641",2
"165","R3ID02642",2
"166","R3ID02643",2
"167","R3ID02644",2
"168","R3ID02645",2
"169","R3ID02646",2
"170","R3ID02647",2
"171","R3ID02648",2
"172","R3ID02649",2
"173","R3ID02650",2
"174","R3ID02651",2
"175","R3ID02652",2
"176","R3ID02653",2
"177","R3ID02654",2
"178","R3ID02655",2
"179","R3ID02656",2
"180","R3ID02657",2
"181","R3ID02658",2
"182","R3ID02659",2
"183","R3ID02660",2
"184","R3ID02661",2
"185","R3ID02662",2
"186","R3ID02663",2
"187","R3ID02664",2
"188","R3ID02665",2
"189","R3ID02666",2
"190","R3ID02667",2
"191","R3ID02668",2
"192","R3ID02669",2
"193","R3ID02670",2
"194","R3ID02671",2
"195","R3ID02672",2
"196","R3ID02673",2
"197","R3ID02674",2
"198","R3ID02675",2
"199","R3ID02676",2
"200","R3ID02677",2
"201","R3ID02678",2
"202","R3ID02679",2
"203","R3ID02680",2
"204","R3ID02681",2
"205","R3ID02682",2
"206","R3ID02683",2
"207","R3ID02684",2
"208","R3ID02685",2
"209","R3ID02686",2
"210","R3ID02687",2
"211","R3ID02688",2
"212","R3ID02689",2
"213","R3ID02690",2
"214","R3ID02691",2
"215","R3ID02692",2
"216","R3ID02693",2
"217","R3ID02694",2
"218","R3ID02695",2
"219","R3ID02696",2
"220","R3ID02697",2
"221","R3ID02698",2
"222","R3ID02699",2
"223","R3ID02700",2
"224","R3ID02701",2
"225","R3ID02702",2
"226","R3ID02703",2
"227","R3ID02704",2
"228","R3ID02705",2
"229","R3ID02706",2
"230","R3ID02707",2
"231","R3ID02708",2
"232","R3ID02709",2
"233","R3ID02710",2
"234","R3ID02711",2
"235","R3ID02712",2
"236","R3ID02713",2
"237","R3ID02714",2
"238","R3ID02715",2
"239","R3ID02716",2
"240","R3ID02717",2
"241","R3ID02718",2
"242","R3ID02719",2
"243","R3ID02720",2
"244","R3ID02721",2
"245","R3ID02722",2
"246","R3ID02723",2
"247","R3ID02724",2
"248","R3ID02725",2
"249","R3ID02726",2
"250","R3ID02727",2
"251","R3ID02728",2
"252","R3ID02729",2
"253","R3ID02730",2
"254","R3ID02731",2
"255","R3ID02732",2
"256","R3ID02733",2
"257","R3ID02734",2
"258","R3ID02735",2
"259","R3ID02736",2
"260","R3ID02737",2
"261","R3ID02738",2
"262","R3ID02739",2
"263","R3ID02740",2
"264","R3ID02741",2
"265","R3ID02742",2
"266","R3ID02743",2
"267","R3ID02744",2
"268","R3ID02745",2
"269","R3ID02746",2
"270","R3ID02747",2
"271","R3ID02748",2
"272","R3ID02749",2
"273","R3ID02750",2
"274","R3ID02751",2
"275","R3ID02752",2
"276","R3ID02753",2
"277","R3ID02754",2
"278","R3ID02755",2
"279","R3ID02756",2
"280","R3ID02757",2
"281","R3ID02758",2
"282","R3ID02759",2
"283","R3ID02760",2
"284","R3ID02761",2
"285","R3ID02762",2
"286","R3ID02763",2
"287","R3ID02764",2
"288","R3ID02765",2
"289","R3ID02766",2
"290","R3ID02767",2
"291","R3ID02768",2
"292","R3ID02769",2
"293","R3ID02770",2
"294","R3ID02771",2
"295","R3ID02772",2
"296","R3ID02773",2
"297","R3ID02774",2
"298","R3ID02775",2
"299","R3ID02776",2
"300","R3ID02777",2
"301","R3ID02778",2
"302","R3ID02779",2
"303","R3ID02780",2
"304","R3ID02781",2
"305","R3ID02782",2
"306","R3ID02783",2
"307","R3ID02784",2
"308","R3ID02785",2
"309","R3ID02786",2
"310","R3ID02787",2
"311","R3ID02788",2
"312","R3ID02789",2
"313","R3ID02790",2
"314","R3ID02791",2
"315","R3ID02792",2
"316","R3ID02793",2
"317","R3ID02794",2
"318","R3ID02795",2
"319","R3ID02796",2
"320","R3ID02797",2
"321","R3ID02798",2
"322","R3ID02799",2
"323","R3ID02800",2
"324","R3ID02801",2
"325","R3ID02802",2
"326","R3ID02803",2
"327","R3ID02804",2
"328","R3ID02805",2
"329","R3ID02806",2
"330","R3ID02807",2
"331","R3ID02808",2
"332","R3ID02809",2
"333","R3ID02810",2
"334","R3ID02811",2
"335","R3ID02812",2
"336","R3ID02813",2
"337","R3ID02814",2
"338","R3ID02815",2
"339","R3ID02816",2
"340","R3ID02817",2
"341","R3ID02818",2
"342","R3ID02819",2
"343","R3ID02820",2
"344","R3ID02821",2
"345","R3ID02822",2
"346","R3ID02823",2
"347","R3ID02824",2
"348","R3ID02825",2
"349","R3ID02826",2
"350","R3ID02827",2
"351","R3ID02828",2
"352","R3ID02829",2
"353","R3ID02830",2
"354","R3ID02831",2
"355","R3ID02832",2
"356","R3ID02833",2
"357","R3ID02834",2
"358","R3ID02835",2
"359","R3ID02836",2
"360","R3ID02837",2
"361","R3ID02838",2
"362","R3ID02839",2
"363","R3ID02840",2
"364","R3ID02841",2
"365","R3ID02842",2
"366","R3ID02843",2
"367","R3ID02844",2
"368","R3ID02845",2
"369","R3ID02846",2
"370","R3ID02847",2
"371","R3ID02848",2
"372","R3ID02849",2
"373","R3ID02850",2
"374","R3ID02851",2
"375","R3ID02852",2
"376","R3ID02853",2
"377","R3ID02854",2
"378","R3ID02855",2
"379","R3ID02856",2
"380","R3ID02857",2
"381","R3ID02858",2
"382","R3ID02859",2
"383","R3ID02860",2
"384","R3ID02861",2
"385","R3ID02862",2
"386","R3ID02863",2
"387","R3ID02864",2
"388","R3ID02865",2
"389","R3ID02866",2
"390","R3ID02867",2
"391","R3ID02868",2
"392","R3ID02869",2
"393","R3ID02870",2
"394","R3ID02871",2
"395","R3ID02872",2
"396","R3ID02873",2
"397","R3ID02874",2
"398","R3ID02875",2
"399","R3ID02876",2
"400","R3ID02877",2
"401","R3ID02878",2
"402","R3ID02879",2
"403","R3ID02880",2
"404","R3ID02881",2
"405","R3ID02882",2
"406","R3ID02883",2
"407","R3ID02884",2
"408","R3ID02885",2
"409","R3ID02886",2
"410","R3ID02887",2
"411","R3ID02888",2
"412","R3ID02889",2
"413","R3ID02890",2
"414","R3ID02891",2
"415","R3ID02892",2
"416","R3ID02893",2
"417","R3ID02894",2
"418","R3ID02895",2
"419","R3ID02896",2
"420","R3ID02897",2
"421","R3ID02898",2
"422","R3ID02899",2
"423","R3ID02900",2
"424","R3ID02901",2
"425","R3ID02902",2
"426","R3ID02903",2
"427","R3ID02904",2
"428","R3ID02905",2
"429","R3ID02906",2
"430","R3ID02907",2
"431","R3ID02908",2
"432","R3ID02909",2
"433","R3ID02910",2
"434","R3ID02911",2
"435","R3ID02912",2
"436","R3ID02913",2
"437","R3ID02914",2
"438","R3ID02915",2
"439","R3ID02916",2
"440","R3ID02917",2
"441","R3ID02918",2
"442","R3ID02919",2
"443","R3ID02920",2
"444","R3ID02921",2
"445","R3ID02922",2
"446","R3ID02923",2
"447","R3ID02924",2
"448","R3ID02925",2
"449","R3ID02926",2
"450","R3ID02927",2
"451","R3ID02928",2
"452","R3ID02929",2
"453","R3ID02930",2
"454","R3ID02931",2
"455","R3ID02932",2
"456","R3ID02933",2
"457","R3ID02934",2
"458","R3ID02935",2
"459","R3ID02936",2
"460","R3ID02937",2
"461","R3ID02938",2
"462","R3ID02939",2
"463","R3ID02940",2
"464","R3ID02941",2
"465","R3ID02942",2
"466","R3ID02943",2
"467","R3ID02944",2
"468","R3ID02945",2
"469","R3ID02946",2
"470","R3ID02947",2
"471","R3ID02948",2
"472","R3ID02949",2
"473","R3ID02950",2
"474","R3ID02951",2
